,epoch,fitness_estimate,crossover_used,pop_gen_used,im_size
0,0,6025300,crossover_1,random_image_array_1,"(120,160)"
1,100,3952045,crossover_1,random_image_array_1,"(120,160)"
2,200,3633842,crossover_1,random_image_array_1,"(120,160)"
3,300,3524031,crossover_1,random_image_array_1,"(120,160)"
4,400,3451493,crossover_1,random_image_array_1,"(120,160)"
5,500,3399576,crossover_1,random_image_array_1,"(120,160)"
6,600,3344449,crossover_1,random_image_array_1,"(120,160)"
7,700,3308756,crossover_1,random_image_array_1,"(120,160)"
8,800,3272565,crossover_1,random_image_array_1,"(120,160)"
9,900,3253696,crossover_1,random_image_array_1,"(120,160)"
10,999,3236589,crossover_1,random_image_array_1,"(120,160)"
